"VS0059","V4526AA_1","VS0115","V3041","VS0123","VS0131","V3072","V2025A","V3071","VS0005","V3045","V3014CAT","VS0137","VS0141","V2026","V2041","VS0055","V3035","VS0011.1","V2040A","VS0026","VS0026.1","VS0031","VS0126","VS0146","VS0007","V3012","VS0070","VS0024.1","V2045","VS0147","o_bullied"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,14,2,3,999,3,1,2,2,2,1,1,1,3,2,2,1,1,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,3,14,2,3,999,2,1,1,1,1,1,2,1,4,2,1,2,2,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,2,999,2,4,2,2,2,1,1,0,4,1,2,2,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,9,2,2,999,1,1,4,4,2,1,2,0,3,2,4,1,2,"0"
2,9,2,999,2,9,9,2,1,1,999,1,99,2,13,2,3,999,1,1,4,4,1,1,2,1,4,2,4,2,2,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,2,10,2,3,999,1,1,1,1,2,1,3,0,3,2,1,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,14,2,4,999,2,1,3,3,2,1,1,1,4,2,4,1,1,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,3,999,2,1,4,4,2,1,3,1,3,2,2,1,3,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,1,7,2,4,999,1,2,3,3,2,1,2,0,4,2,4,2,1,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,2,12,1,2,999,1,1,1,1,2,1,3,1,3,2,1,1,3,"0"
1,9,2,999,2,9,9,2,1,1,999,2,99,4,14,2,3,999,2,1,4,4,2,1,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,4,999,1,99,2,12,2,4,999,1,2,4,4,2,1,2,0,4,2,4,1,2,"0"
3,9,2,999,2,9,2,2,2,1,999,2,99,1,12,1,4,999,1,1,4,4,2,1,1,1,7,2,4,2,1,"0"
4,9,2,999,2,9,2,2,2,2,999,1,2,2,12,2,4,999,1,1,2,2,2,1,2,1,4,2,2,2,2,"0"
2,9,2,999,2,9,9,1,9,3,999,1,99,1,98,1,3,999,1,1,4,4,2,1,2,0,3,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,14,2,1,999,2,1,4,4,2,2,1,1,3,2,4,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,98,2,2,999,1,1,2,2,1,1,1,1,4,2,2,2,2,"0"
1,9,2,999,2,9,9,2,9,4,999,1,99,2,14,2,3,999,1,1,2,2,1,1,2,0,9,1,4,2,2,"0"
2,9,2,999,2,9,2,1,2,1,999,1,99,1,8,1,3,999,1,1,2,2,2,1,99,1,4,2,2,1,3,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,1,98,1,3,999,1,1,3,3,2,1,3,1,3,2,3,2,2,"0"
2,2,2,999,2,9,2,2,2,1,999,1,99,1,13,2,3,1,1,1,4,4,2,1,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,2,98,2,4,999,1,2,2,2,2,1,1,1,3,2,2,1,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,4,10,2,4,999,2,1,4,4,2,1,1,1,3,2,4,2,1,"0"
2,9,2,999,2,9,9,1,9,2,999,1,99,3,14,2,3,999,2,1,2,2,1,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,12,2,2,999,2,2,2,2,2,1,2,1,3,2,2,2,2,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,3,14,2,3,999,2,1,4,4,2,2,1,1,4,2,2,1,2,"0"
2,9,2,999,2,9,2,2,2,3,999,1,99,1,98,2,3,999,1,2,2,2,2,1,1,1,3,2,2,2,2,"0"
2,9,2,999,2,9,2,2,2,3,999,1,99,9,13,2,4,999,3,1,2,2,2,1,2,0,4,2,2,1,3,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,2,9,2,2,999,1,2,2,2,2,1,2,0,4,2,2,2,2,"0"
1,9,2,999,2,9,9,2,1,1,999,1,1,1,14,2,3,999,1,1,4,4,1,1,2,1,4,2,4,1,3,"0"
3,9,2,999,2,9,2,2,2,2,999,1,99,4,14,2,3,999,2,1,2,2,2,2,3,1,3,2,2,1,3,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,4,13,2,1,999,2,1,2,2,1,1,1,0,4,2,2,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,14,2,3,999,2,4,2,2,1,1,2,1,4,2,2,1,2,"0"
2,9,2,999,2,9,2,2,2,2,999,1,99,5,98,2,1,999,2,1,2,2,2,1,1,0,9,2,2,2,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,3,4,1,3,999,2,1,1,1,2,1,2,1,4,2,4,2,2,"0"
3,9,2,999,2,9,9,2,1,1,999,1,99,5,98,2,4,999,2,1,4,4,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,98,1,1,999,2,1,1,1,2,1,1,1,3,2,2,1,1,"0"
2,9,2,999,2,1,2,2,2,1,999,2,99,1,10,2,4,999,1,3,4,4,2,1,2,1,3,2,4,2,2,"0"
3,9,2,999,2,9,9,2,1,3,999,1,99,2,13,2,4,999,1,1,4,4,2,1,2,1,3,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,98,2,3,999,1,1,2,2,2,1,2,1,4,2,2,1,2,"0"
1,9,2,999,2,9,2,2,2,2,999,1,99,2,13,2,3,999,1,2,4,4,2,2,1,0,3,2,4,1,1,"0"
1,9,2,999,2,9,9,2,1,4,999,1,99,2,13,2,3,999,1,1,4,4,2,1,2,0,4,1,4,2,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,1,98,2,2,999,1,2,4,4,1,1,1,1,8,2,4,2,1,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,3,999,2,1,4,4,2,1,3,1,3,2,2,1,3,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,2,98,2,4,999,1,4,2,2,2,1,1,0,4,2,2,1,1,"0"
2,9,2,999,2,9,2,1,2,3,999,2,98,8,14,1,4,999,1,1,2,2,2,1,1,0,4,2,4,2,1,"0"
2,9,2,999,2,9,9,2,9,4,999,1,99,2,11,2,4,999,1,1,1,1,2,1,1,0,4,2,1,1,1,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,2,98,1,2,999,1,1,1,1,2,3,2,1,3,1,1,2,1,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,4,999,2,1,4,4,1,1,2,0,4,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,14,2,4,999,1,1,2,2,1,1,1,1,4,2,2,1,1,"0"
1,9,2,999,2,9,2,2,2,3,999,2,99,9,6,1,4,999,3,1,4,4,1,2,2,1,4,2,4,2,2,"0"
4,9,2,999,2,9,2,2,2,3,999,1,99,9,12,2,3,999,3,2,2,2,2,1,2,1,4,2,2,2,2,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,3,9,1,3,999,2,1,3,3,2,1,1,1,4,2,3,2,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,4,13,2,3,999,2,1,4,4,1,1,2,1,9,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,4,999,1,99,2,1,2,2,999,1,2,3,3,2,1,1,0,4,2,3,2,2,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,2,14,2,4,999,1,1,2,2,2,1,2,0,4,2,2,2,3,"0"
1,9,2,999,2,9,9,1,9,3,999,1,99,2,14,2,4,999,1,1,4,4,2,1,2,0,4,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,3,98,1,4,999,2,1,4,4,2,1,1,0,4,2,4,2,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,5,3,2,4,999,2,1,2,2,2,1,1,1,4,2,2,2,1,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,1,14,2,3,999,1,1,2,2,2,1,2,1,3,2,2,1,3,"0"
2,9,2,999,2,9,1,2,2,1,999,1,99,1,8,2,3,999,1,2,3,3,1,1,2,1,4,2,3,2,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,9,14,2,3,999,4,2,2,2,2,1,1,0,3,99,2,2,1,"0"
2,9,2,999,2,9,2,2,2,3,999,1,99,3,10,2,2,999,2,1,2,2,2,1,2,1,4,2,2,2,2,"0"
2,9,2,999,2,9,9,2,1,1,999,1,99,5,13,2,4,999,2,1,4,4,1,1,1,1,4,2,4,2,1,"0"
1,9,2,999,2,9,9,2,9,1,999,1,99,2,12,2,3,999,1,1,2,2,1,1,2,1,3,2,2,2,2,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,2,14,2,3,999,1,4,2,2,1,2,3,1,4,2,2,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,8,2,4,999,3,1,2,2,1,2,1,1,4,2,2,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,10,2,3,999,2,2,4,4,2,1,2,1,4,2,4,2,2,"0"
1,9,2,999,2,9,9,2,1,1,999,1,99,1,10,2,2,999,1,1,4,4,2,1,2,1,4,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,14,2,3,999,4,1,2,2,1,1,1,1,3,2,2,1,2,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,1,13,2,4,999,1,1,1,1,2,1,1,1,3,2,4,2,1,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,3,8,2,3,999,2,7,1,1,1,1,2,1,3,2,1,2,2,"0"
3,9,2,999,2,9,2,1,2,1,999,1,99,4,14,2,3,999,2,1,4,4,2,1,2,1,3,2,4,1,2,"0"
2,9,2,999,2,9,2,2,2,2,999,2,99,4,9,1,3,999,2,1,4,4,2,1,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,13,2,4,999,2,1,4,4,2,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,14,2,3,999,1,1,2,2,1,1,2,1,4,2,2,1,2,"0"
3,2,2,999,2,9,9,2,9,2,999,1,99,3,13,2,2,999,2,1,4,4,2,1,1,0,4,2,4,2,2,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,2,1,2,2,999,1,2,4,4,2,1,4,1,3,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,14,2,4,999,2,1,3,3,2,1,1,1,4,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,14,2,4,999,2,1,2,2,2,1,2,1,4,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,9,14,2,3,999,3,4,4,4,1,2,2,0,4,2,1,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,3,999,2,1,2,2,2,1,1,0,3,2,2,1,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,3,14,2,4,999,2,1,2,2,1,1,1,0,3,2,4,1,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,1,98,2,4,999,1,1,4,4,2,2,1,1,4,2,4,2,1,"0"
1,9,2,999,2,9,2,2,2,1,999,1,99,2,14,2,4,999,1,1,2,2,2,1,1,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,12,2,3,999,1,1,2,2,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,3,11,2,3,999,2,1,2,2,1,1,2,0,3,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,1,14,2,4,999,1,1,1,1,1,1,1,1,3,2,1,1,2,"0"
1,9,2,999,2,9,2,2,2,3,999,2,99,3,7,2,3,999,2,2,4,4,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,98,2,2,999,4,2,4,4,2,2,2,1,9,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,4,98,2,4,999,2,1,4,4,2,1,1,0,4,2,4,2,2,"0"
3,9,2,999,2,9,9,2,9,3,999,1,99,4,4,2,3,999,2,6,2,2,2,2,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,11,2,3,999,1,1,4,4,1,1,2,1,4,2,4,2,3,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,14,2,3,999,1,1,2,2,2,1,1,0,3,2,2,1,1,"0"
1,9,2,999,2,9,2,2,2,3,999,1,99,3,10,2,3,999,2,1,4,4,1,1,1,1,4,2,4,2,1,"0"
1,9,2,999,2,9,9,2,9,1,999,1,99,5,13,2,4,999,2,1,4,4,1,1,2,1,3,2,4,1,2,"0"
1,9,2,999,2,9,2,2,2,3,999,2,99,3,13,2,3,999,2,1,2,2,2,1,2,1,3,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,4,999,1,99,3,14,2,3,999,2,1,2,2,1,1,2,0,3,2,4,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,12,1,2,999,4,1,2,2,1,1,2,1,4,2,2,2,2,"0"
3,9,2,999,2,9,9,2,9,2,999,1,99,2,14,2,3,999,1,1,4,4,2,1,1,0,3,2,4,2,1,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,9,98,2,3,999,4,1,4,4,2,1,3,1,3,2,4,2,3,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,10,2,3,999,1,1,2,2,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,2,2,2,2,999,1,99,1,10,1,4,999,1,1,2,2,2,1,1,0,4,2,2,1,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,1,14,2,4,999,1,2,4,4,2,1,1,1,3,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,14,2,3,999,2,1,4,4,2,1,1,1,3,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,14,2,4,999,2,1,2,2,2,1,1,1,4,2,2,2,1,"0"
2,9,2,999,2,9,9,1,9,3,999,1,99,9,14,2,3,999,4,1,4,4,1,1,1,0,3,2,4,2,1,"0"
2,9,2,999,2,9,9,1,9,2,999,1,99,1,98,2,4,999,1,5,1,1,2,1,1,1,3,2,1,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,12,2,2,999,2,2,2,2,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,3,98,2,3,999,2,1,2,2,2,2,1,0,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,2,11,2,4,999,1,4,1,1,2,1,3,0,3,2,1,1,2,"0"
4,9,2,999,2,9,2,2,2,3,999,1,99,3,14,2,3,999,2,1,3,3,2,1,1,0,10,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,7,1,4,999,1,1,4,4,2,1,1,1,3,2,4,2,1,"0"
2,9,2,999,2,9,2,1,2,1,999,1,99,3,98,2,2,999,2,2,2,2,2,1,1,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,12,2,3,999,2,1,4,4,2,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,9,9,1,9,1,999,1,99,2,13,1,2,999,1,1,4,4,2,1,2,1,8,2,4,1,2,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,5,4,1,4,999,2,1,3,3,2,2,2,1,11,2,3,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,14,2,4,999,2,1,2,2,2,1,1,1,4,2,2,2,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,4,14,2,4,999,2,1,2,2,1,1,2,0,3,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,9,12,2,3,999,4,2,2,2,2,1,2,0,3,2,2,2,2,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,1,14,2,4,999,1,1,4,4,1,1,1,0,3,1,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,14,2,2,999,2,1,4,4,2,1,2,1,3,2,4,2,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,1,14,2,4,999,1,1,4,4,2,1,3,1,4,2,4,2,1,"0"
2,9,2,999,2,9,2,2,2,4,999,2,99,3,98,2,4,999,2,1,1,1,2,1,1,1,3,2,1,2,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,12,2,3,999,1,1,2,2,2,1,2,0,3,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,9,12,2,3,999,3,1,2,2,1,1,1,0,3,2,2,1,3,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,1,14,2,4,999,1,1,4,4,1,1,1,0,3,1,4,1,2,"0"
1,9,2,999,2,9,2,2,2,2,999,2,99,2,11,1,3,999,1,1,4,4,2,1,2,1,3,2,4,2,2,"0"
1,2,2,999,2,9,9,2,9,2,999,1,99,1,14,2,3,1,1,1,4,4,2,1,2,0,3,2,4,1,2,"0"
1,9,2,999,2,9,9,2,9,3,999,1,1,1,14,2,4,999,1,1,4,4,2,1,2,0,3,2,4,2,2,"0"
1,9,2,999,2,9,9,2,1,1,999,1,99,1,14,2,3,999,1,1,4,4,2,2,2,1,4,2,4,2,2,"0"
1,9,2,999,2,9,2,2,2,1,999,1,99,9,10,2,3,999,4,2,2,2,2,1,2,1,9,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,12,2,3,999,2,1,2,2,1,1,2,1,3,2,2,2,2,"0"
1,9,2,999,2,9,9,2,9,1,999,1,99,1,7,2,3,999,1,1,4,4,2,2,2,1,9,2,4,2,2,"0"
2,9,2,999,2,9,9,1,9,1,999,1,99,2,14,2,3,999,1,1,4,4,1,1,1,1,4,2,4,2,1,"0"
1,9,1,999,2,9,2,2,2,3,999,1,99,2,14,2,1,999,1,1,2,2,2,2,2,0,4,1,2,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,98,2,3,999,1,1,1,1,1,1,1,0,4,2,4,2,1,"0"
1,9,2,999,2,9,1,1,2,1,999,1,99,5,14,2,3,999,2,4,4,4,2,1,2,1,3,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,1,98,1,3,999,1,1,4,4,2,1,2,1,3,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,14,2,4,999,2,1,2,2,1,1,1,1,3,2,2,2,1,"0"
2,9,2,999,2,9,9,1,9,2,999,1,99,4,11,1,4,999,2,1,1,1,2,1,1,0,4,2,4,2,1,"0"
3,9,2,999,2,9,9,2,9,4,999,1,99,2,10,2,1,999,1,1,4,4,2,1,2,0,3,2,4,2,2,"0"
1,9,2,999,2,9,9,2,1,2,999,2,99,2,14,1,2,999,1,1,4,4,1,1,1,1,3,1,4,1,2,"0"
2,9,2,999,2,9,9,2,1,1,999,2,99,2,14,2,3,999,1,1,4,4,2,1,1,1,4,2,4,2,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,5,3,1,3,999,2,1,4,4,2,1,2,1,3,2,1,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,14,2,3,999,4,1,4,4,2,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,2,9,2,9,2,999,1,99,2,14,2,3,999,1,1,3,3,2,1,2,0,4,2,2,2,2,"0"
2,9,2,999,2,9,2,1,2,1,999,1,99,5,98,1,3,999,2,1,1,1,2,3,3,1,4,2,1,2,3,"0"
3,9,2,999,2,9,9,2,9,4,999,1,99,1,12,2,4,999,1,1,4,4,2,1,2,0,4,2,4,1,2,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,2,8,2,3,999,1,2,1,1,2,1,2,1,9,2,1,2,1,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,9,12,2,3,999,3,1,2,2,2,1,1,1,4,2,2,2,1,"0"
2,9,2,999,2,9,2,2,2,1,999,2,99,1,10,1,3,999,1,1,4,4,2,1,2,1,3,2,4,2,2,"0"
3,9,2,999,2,9,9,2,9,2,999,1,99,4,10,2,3,999,2,1,4,4,1,1,1,1,4,2,4,2,2,"0"
2,9,2,999,2,9,2,2,2,4,999,1,99,3,14,2,3,999,2,1,4,4,1,1,1,1,3,2,4,2,2,"0"
2,9,2,999,2,9,9,2,1,2,999,1,99,3,13,2,3,999,2,1,4,4,2,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,14,2,3,999,2,1,4,4,2,1,2,1,3,2,4,1,2,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,3,9,2,4,999,2,1,2,2,2,1,2,1,4,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,1,98,1,3,999,1,1,1,1,2,1,2,0,3,2,1,1,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,3,11,2,3,999,2,1,2,2,2,1,3,1,4,2,2,1,1,"0"
2,9,2,999,2,9,2,1,2,2,999,1,99,2,98,2,4,999,1,4,2,2,2,1,2,1,3,2,2,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,98,2,3,999,1,1,2,2,1,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,9,1,9,2,999,1,99,2,8,1,4,999,1,1,1,1,2,1,3,0,4,2,1,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,14,2,3,999,2,4,2,2,1,1,2,1,3,2,2,1,2,"0"
2,9,2,999,2,9,2,2,2,2,999,2,99,2,10,2,4,999,1,4,4,4,2,1,1,1,9,2,4,1,1,"0"
1,9,2,999,2,9,2,2,2,1,999,1,99,1,98,2,3,999,1,2,4,4,2,1,2,1,10,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,98,2,4,999,3,1,4,4,2,1,1,1,3,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,2,10,2,3,999,1,3,4,4,2,1,1,0,4,2,4,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,9,98,2,4,999,4,2,2,2,2,2,1,1,4,2,2,2,1,"0"
3,9,2,999,2,9,2,2,2,1,999,1,99,5,14,2,3,999,2,1,4,4,2,2,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,2,2,2,2,999,1,99,3,8,1,4,999,2,1,1,1,2,1,1,1,7,2,4,2,1,"0"
3,9,2,999,2,9,9,2,9,2,999,1,99,3,10,2,3,999,2,1,1,1,2,1,3,0,4,2,4,1,3,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,1,14,1,3,999,1,1,5,5,2,1,2,0,3,2,5,2,2,"0"
1,9,2,999,2,2,2,2,2,2,999,1,99,2,98,2,3,999,1,2,2,2,2,3,3,0,4,2,2,2,3,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,5,13,1,2,999,2,1,4,4,2,1,2,0,3,2,4,2,2,"0"
1,2,2,999,2,9,9,2,9,2,999,1,99,2,14,2,3,1,1,1,4,4,2,1,2,0,4,2,4,2,2,"0"
2,9,2,999,2,9,2,2,2,3,999,1,99,3,12,1,1,999,2,1,4,4,1,1,1,1,3,2,4,2,1,"0"
2,9,2,999,2,9,2,1,2,1,999,1,99,5,98,1,3,999,2,1,1,1,2,3,3,1,4,2,1,2,3,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,1,13,2,3,999,1,4,5,5,2,1,2,1,3,2,5,1,2,"0"
3,9,2,999,2,9,9,2,9,1,999,1,99,2,8,2,1,999,1,1,4,4,2,1,1,1,9,2,4,2,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,3,10,1,3,999,2,1,2,2,2,1,2,1,3,2,2,2,2,"0"
2,9,2,999,2,9,2,2,2,3,999,1,99,5,98,2,1,999,2,2,4,4,2,1,1,0,4,2,4,2,1,"0"
3,9,2,999,2,9,2,2,2,2,999,1,99,4,9,1,3,999,2,1,4,4,2,1,2,1,3,2,4,1,2,"0"
2,9,2,999,2,9,9,1,9,1,999,1,99,2,13,1,4,999,1,1,2,2,2,1,1,1,3,2,2,2,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,2,1,2,4,999,1,1,4,4,2,1,2,1,3,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,9,14,2,3,999,3,4,4,4,1,2,2,0,4,2,1,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,1,14,2,4,999,1,4,4,4,2,1,1,1,4,2,4,1,1,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,3,13,2,3,999,2,1,2,2,2,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,9,2,2,2,2,999,1,99,3,12,1,2,999,2,1,4,4,2,1,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,98,2,3,999,1,1,4,4,2,1,2,1,4,2,4,1,2,"0"
2,9,2,999,2,9,2,2,2,4,999,1,99,1,10,2,3,999,1,2,3,3,2,1,2,0,3,2,3,2,2,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,4,98,2,2,999,2,1,2,2,2,1,2,0,4,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,3,999,1,99,2,6,2,3,999,1,1,1,1,1,1,2,0,3,2,4,2,1,"0"
1,9,2,999,2,9,2,2,2,2,999,2,99,3,12,2,3,999,2,1,2,2,2,1,2,0,9,2,2,2,3,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,9,14,2,99,999,4,1,2,2,2,1,2,0,4,2,2,1,2,"0"
2,9,2,999,2,9,2,2,2,1,999,1,99,9,14,2,1,999,3,1,4,4,2,1,2,1,3,2,4,1,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,1,14,2,3,999,1,1,4,4,1,3,2,1,4,2,4,2,3,"0"
3,9,2,999,2,9,9,2,9,2,999,1,99,4,13,1,3,999,2,1,2,2,2,1,3,0,4,2,2,1,1,"0"
3,9,2,999,2,9,1,2,2,1,999,1,99,5,14,2,3,999,2,1,4,4,1,2,2,1,4,2,4,1,2,"0"
3,9,2,999,2,9,9,2,9,2,999,1,99,2,11,1,4,999,1,1,1,1,2,1,1,0,3,2,1,1,1,"0"
1,9,2,999,2,9,2,2,2,1,999,1,99,2,13,2,3,999,1,2,2,2,2,1,2,1,3,2,2,1,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,2,13,2,4,999,1,1,2,2,1,1,2,0,4,2,2,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,4,98,2,4,999,2,4,4,4,1,1,1,1,4,2,4,1,1,"0"
2,9,2,999,2,9,2,2,2,2,999,1,99,1,98,1,4,999,1,1,2,2,2,3,2,1,3,2,2,1,3,"0"
2,9,2,999,2,9,2,1,2,1,999,1,99,2,12,1,3,999,1,1,2,2,2,1,2,1,4,2,2,2,2,"0"
1,9,2,999,2,9,2,2,2,1,999,1,99,1,14,2,3,999,1,1,4,4,1,1,2,1,4,2,4,2,2,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,2,98,2,4,999,1,1,2,2,2,1,1,1,3,2,2,2,1,"0"
1,9,2,999,2,9,9,2,9,2,999,1,99,4,13,2,3,999,2,1,2,2,1,1,1,1,9,2,2,1,1,"0"
2,9,2,999,2,9,9,2,9,1,999,1,99,5,98,2,4,999,2,1,4,4,2,1,1,1,3,2,4,2,1,"0"
2,9,2,999,2,9,9,2,9,2,999,1,99,1,14,2,2,999,1,1,2,2,2,1,2,0,3,2,4,1,2,"0"
